project,year,doy,siteID,depthID,sampleDepth,SRP_ugL,flagSRP,TP_ugL,flagTP,TN_mgL,flagTN,NOx_mgL,flagNOx,microcystin_ugL,flagMC,TSS_mgL,flagTSS,VSS_mgL,flagVSS,ISS_mgL,flagISS
GVLmonitoring,2019,192,2,1,0.25,42.25,,229.15,,1.45,,0,a,34.565,,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,2,2,1,42.5,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,2,3,2,42.95,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,2,4,3,120.45,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,3,1,0.25,40.35,,207.3,,1.6,,0,a,36.84,,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,3,2,1.75,39.45,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,3,3,3.5,42.85,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,3,4,5,230.25,,NA,b,NA,b,0.11,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,4,1,0.25,34.75,,224,,1.59,,0.2,,36.64,,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,4,2,2,34.1,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,4,3,4,34.25,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,4,4,6,460.9,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,5,1,0.25,46.75,,184.85,,1.55,,0,a,20.55,,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,5,2,1.5,46.85,,NA,b,NA,b,0.13,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,5,3,3,42.75,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,5,4,4.5,74.45,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,6,1,0.25,65,,255.1,,1.25,,0,a,33.8,,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,6,2,1,63.3,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,6,3,2,88.3,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,192,6,4,3.5,99.85,,NA,b,NA,b,0,a,NA,b,NA,b,NA,b,NA,b
beachMonitoring,2019,198,9,1,0.25,NA,b,NA,b,NA,b,NA,b,40.94,,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,1,1,0.25,94.7,,259.4,,1.16,,0.12,,17.1,,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,1,2,0.75,94,,NA,b,NA,b,0.19,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,1,3,1.5,94.2,,NA,b,NA,b,0.15,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,1,4,2,94.35,,NA,b,NA,b,0.24,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,2,1,0.25,91.1,,254.9,,1.33,,0.27,,22.09,,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,2,2,1,90.35,,NA,b,NA,b,0.17,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,2,3,2,89.7,,NA,b,NA,b,0.24,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,2,4,3,89.25,,NA,b,NA,b,0.26,,NA,b,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,3,1,0.25,93.7,,262.65,,1.37,,0.24,,22.025,,NA,b,NA,b,NA,b
GVLmonitoring,2019,199,3,2,1.75,95.65,,NA,b,NA,b,0.3,,NA,b,NA,b,NA,b,NA,b
