lake,year,month,sample_id,site,hypo_temp_c,hypo_DO_mgL,hypo_DO_sat,core_id,core_unique,sediment_sa_m2,water_height_pre_m,water_height_post_m,doy,pH,temp_c,DO_mgL,DO_sat,TP_mgL_1,TP_mgL_2,vol_replace_L,replace_TP_mgL_1,replace_TP_mgL_2
Green Valley,2020,August,C20041224108,1,26.1,7.17,88.7,8,32,0.001735,0.314,0.29,224,8.4,23.8,6.65,78.4,0.5524,0.5576,0.05,0.3583,0.3656
Green Valley,2020,August,C20041224109,1,26.1,7.17,88.7,9,33,0.001735,0.344,0.32,224,8.55,23.9,6.98,82.8,0.3755,0.3772,0.05,0.3583,0.3656
Green Valley,2020,August,C20041225401,4,24.9,4.54,54.7,1,25,0.001735,0.196,0.082,225,7.95,24.3,1.35,16,1.3411,1.3538,0.05,0.2995,0.2998
Green Valley,2020,August,C20041225402,4,24.9,4.54,54.7,2,26,0.001735,0.148,0.136,225,7.9,24.5,1.29,15.5,0.5153,0.5267,0.05,0.2995,0.2998
Green Valley,2020,August,C20041225403,4,24.9,4.54,54.7,3,27,0.001735,0.104,0.09,225,7.65,24.5,1.63,19.5,0.8095,0.7927,0.05,0.2995,0.2998
Green Valley,2020,August,C200412251004,10,25.4,4.76,58,4,28,0.001735,0.206,0.194,225,7.69,24.3,2.2,26.2,0.6405,0.6521,0.05,0.3417,0.3453
Green Valley,2020,August,C200412251005,10,25.4,4.76,58,5,29,0.001735,0.276,0.254,225,7.89,24.3,1.93,23,0.5346,0.5483,0.05,0.3417,0.3453
Green Valley,2020,August,C200412251006,10,25.4,4.76,58,6,30,0.001735,0.242,0.23,225,8.1,24.3,1.48,17.6,0.6708,0.6808,0.05,0.3417,0.3453
Green Valley,2020,August,C20041225107,1,26.1,7.17,88.7,7,31,0.001735,0.34,0.323,225,8.23,24.2,7.26,86.7,0.3723,0.3775,0.05,0.3677,0.3705
Green Valley,2020,August,C20041225108,1,26.1,7.17,88.7,8,32,0.001735,0.314,0.29,225,8.01,24.2,5.58,66.6,0.4387,0.445,0.05,0.3677,0.3705
Green Valley,2020,August,C20041225109,1,26.1,7.17,88.7,9,33,0.001735,0.344,0.32,225,8.12,24.3,7.27,86.9,0.4091,0.4214,0.05,0.3677,0.3705
Green Valley,2020,August,C20041226401,4,24.9,4.54,54.7,1,25,0.001735,0.196,0.082,226,7.41,26.2,1.68,20.6,1.1349,1.1383,0.05,0.315,0.3162
Green Valley,2020,August,C20041226402,4,24.9,4.54,54.7,2,26,0.001735,0.148,0.136,226,7.32,26.2,0.98,12,0.3593,0.3611,0.05,0.315,0.3162
Green Valley,2020,August,C20041226403,4,24.9,4.54,54.7,3,27,0.001735,0.104,0.09,226,7.24,26.2,1.25,15.5,0.7177,0.7254,0.05,0.315,0.3162
Green Valley,2020,August,C200412261004,10,25.4,4.76,58,4,28,0.001735,0.206,0.194,226,7.26,26,1.8,22.1,0.5705,0.5725,0.05,0.3405,0.3404
Green Valley,2020,August,C200412261005,10,25.4,4.76,58,5,29,0.001735,0.276,0.254,226,7.33,26.1,2.79,34.4,0.5622,0.5706,0.05,0.3405,0.3404
Green Valley,2020,August,C200412261006,10,25.4,4.76,58,6,30,0.001735,0.242,0.23,226,7.36,26.1,2.44,28.4,0.642,0.6574,0.05,0.3405,0.3404
Green Valley,2020,August,C20041226107,1,26.1,7.17,88.7,7,31,0.001735,0.34,0.323,226,7.49,25.9,6.45,79.2,0.4471,0.4435,0.05,0.3532,0.3535
Green Valley,2020,August,C20041226108,1,26.1,7.17,88.7,8,32,0.001735,0.314,0.29,226,7.52,25.9,5.34,65.6,0.5479,0.5579,0.05,0.3532,0.3535
Green Valley,2020,August,C20041226109,1,26.1,7.17,88.7,9,33,0.001735,0.344,0.32,226,7.57,25.9,6.38,78.4,0.4588,0.4619,0.05,0.3532,0.3535
Green Valley,2020,August,C20041227401,4,24.9,4.54,54.7,1,25,0.001735,0.196,0.082,227,7.34,24.4,2.12,25,0.7441,0.739,NA,NA,NA
Green Valley,2020,August,C20041227402,4,24.9,4.54,54.7,2,26,0.001735,0.148,0.136,227,7.31,24.4,1.31,15.4,0.4502,0.4534,NA,NA,NA
Green Valley,2020,August,C20041227403,4,24.9,4.54,54.7,3,27,0.001735,0.104,0.09,227,7.21,24.4,1.03,12.3,0.4475,0.4452,NA,NA,NA
Green Valley,2020,August,C200412271004,10,25.4,4.76,58,4,28,0.001735,0.206,0.194,227,7.26,24.3,1.7,19.9,0.3724,0.3839,NA,NA,NA
Green Valley,2020,August,C200412271005,10,25.4,4.76,58,5,29,0.001735,0.276,0.254,227,7.4,24.4,1.44,17.2,0.5937,0.5973,NA,NA,NA
Green Valley,2020,August,C200412271006,10,25.4,4.76,58,6,30,0.001735,0.242,0.23,227,7.37,24.4,1.56,18.6,0.6222,0.6252,NA,NA,NA
Green Valley,2020,August,C20041227107,1,26.1,7.17,88.7,7,31,0.001735,0.34,0.323,227,8.1,24.5,7.11,85.3,0.4105,0.4158,NA,NA,NA
Green Valley,2020,August,C20041227108,1,26.1,7.17,88.7,8,32,0.001735,0.314,0.29,227,7.94,24.4,6.15,73.6,0.2225,0.2255,NA,NA,NA
Green Valley,2020,August,C20041227109,1,26.1,7.17,88.7,9,33,0.001735,0.344,0.32,227,8.19,24.4,7.17,86,0.2929,0.2974,NA,NA,NA
Green Valley,2020,October,C20041299401,4,8.4,8.65,73.8,1,34,0.001735,0.179,0.172,299,8.64,12.3,10.6,99.1,0.2363,0.2362,0.05,0.1294,0.1262
Green Valley,2020,October,C20041299402,4,8.4,8.65,73.8,2,35,0.001735,0.196,0.19,299,8.36,10.5,10.4,93.3,0.2206,0.2219,0.05,0.1294,0.1262
Green Valley,2020,October,C20041299403,4,8.4,8.65,73.8,3,36,0.001735,0.194,0.194,299,8.47,10.3,10.87,97.3,0.2137,0.2114,0.05,0.1294,0.1262
Green Valley,2020,October,C200412991004,10,8.1,8.71,73.7,4,37,0.001735,0.278,0.276,299,8.43,10.4,10.76,96.5,0.153,0.1522,0.05,0.1409,0.1408
Green Valley,2020,October,C200412991005,10,8.1,8.71,73.7,5,38,0.001735,0.272,0.265,299,8.6,9.9,11.12,98.4,0.1326,0.1333,0.05,0.1409,0.1408
Green Valley,2020,October,C200412991006,10,8.1,8.71,73.7,6,39,0.001735,0.298,0.294,299,8.39,10.5,10.5,94.2,0.1357,0.135,0.05,0.1409,0.1408
Green Valley,2020,October,C20041299107,1,6.7,10.19,83.3,7,40,0.001735,0.267,0.26,299,8.52,10.3,10.8,96.4,0.1468,0.1486,0.05,0.1108,0.1112
Green Valley,2020,October,C20041299108,1,6.7,10.19,83.3,8,41,0.001735,0.282,0.28,299,8.48,10,10.92,96.6,0.1529,0.1505,0.05,0.1108,0.1112
Green Valley,2020,October,C20041299109,1,6.7,10.19,83.3,9,42,0.001735,0.298,0.292,299,8.45,9.4,11,96.2,0.141,0.1416,0.05,0.1108,0.1112
Green Valley,2020,October,C20041300401,4,8.4,8.65,73.8,1,34,0.001735,0.179,0.172,300,8.7,12.4,10.55,99.2,0.1826,0.1804,0.05,0.1423,0.1423
Green Valley,2020,October,C20041300402,4,8.4,8.65,73.8,2,35,0.001735,0.196,0.19,300,8.5,10.5,10.7,95.9,0.1831,0.1846,0.05,0.1423,0.1423
Green Valley,2020,October,C20041300403,4,8.4,8.65,73.8,3,36,0.001735,0.194,0.194,300,8.49,9.9,10.87,96.2,0.2,0.2023,0.05,0.1423,0.1423
Green Valley,2020,October,C200413001004,10,8.1,8.71,73.7,4,37,0.001735,0.278,0.276,300,8.48,10.2,10.79,95.9,0.1509,0.1495,0.05,0.1241,0.1258
Green Valley,2020,October,C200413001005,10,8.1,8.71,73.7,5,38,0.001735,0.272,0.265,300,8.41,9.9,10.23,90.3,0.1455,0.1429,0.05,0.1241,0.1258
